[msd = ".*V.*Neg.*Sg3.*"][msd = ".*V.*Sg3.*"]

	Administrative texts –
Dat ii leat ráđđehusa vuollásaš orgána , ja ráđđehusas 	ii lea 	danne ovddasvástádus Sámedikki politihkalaš doaimmas dahje dain politihkalaš mearrádusain maid Sámediggi dahká .
Maid sii čađahedje giellabesiin Aotearoas // Ođđa Zealánddas , 	ii lea 	prinsihpalaččat mihkkege ođđasiid .
	Ii lea 	čielga earru
Dat 	ii guoská 	dušše dalle go mearka sirdojuvvo eará guovllu olbmui , muhto maiddái dalle go olmmoš ieš johtá bohccuidisguin eará boazoguvlui .
Gielda- ja guovludepartementta ja Olgoriikkadepartementta ovddasteaddjit bargojoavkkus oaivvildit , ahte diekkár evttohus 	ii galggašii 	ovddiduvvot vuos , ja čujuha baicca leavganjuolggadusaid § 4 , 3. oassái , mii rahpá vejolašvuođa dasa , ahte sáhttá maiddái levgejuvvot stáhtaleavggain ” eará allaáiggálaš ja riemolaš dilálašvuođain našuvnna siskkabealde ” .
vealaheapmi 	ii lea 	leamaš .
Vaikko 	ii lea 	čielgasit daddjojuvvon , ahte giellalaš
ahte sámedikkiin 	ii lea 	monopola buot sámi hálddašeapmái .
mat leat boarráseappot go 100 jagi ja maidda 	ii lea 	dihto eaiggát , leat ráfohuvvon .
India dalle oaivvildii ahte vuoigatvuohta mii bukto ovdan CCPR:as ja CESCR:as dušše guoská álbmogiidda guhte leat amasválddiid vuollásažžan , ja ii ieččanas sorjjekeahtes stáhtaide dahje álbmot-osiide dahje čearddaide , nu ahte 	ii gustošii 	” álmogiidda ” eará oktavuođain go dalle go lea sáhka olles álbmogis mii lea stáhta siste dahje eanagáhppálaga alde .
Eanaš eamiálbmogat eai livčče árbevirolaš kolonidilis – datte-ge 	ii nuppástuvašii 	vealáhusa govdodat dahje hápmi sakka .
Muhtin virgehasaide 	ii guoská 	dieđihangeatnegasvuohta dalle go sis lea ámmátlaš jávohisvuođageatnegasvuohta .
Eat sáhte guorahallat daid sivaid nie heajos válgaoassálastimii Lulli-Norgga válgabiires , go dat 	ii guoská 	dan kapihttala temáhtalaš rámmaid
muhto vaikko ahkái 	ii geahčašii 	ge , de lea goitge čielgasit lassánan .
Dovdomearkan daid doaluide mat heaittihuvvojit , lea dat go dáid doaluid divodeapmi livččii hui divrras ja doaibmaekonomiija liikká 	ii buorránivččii 	dan geažil .
Eatnigielaoahpaheaddji sáhttá leat ressursan ja ovttasbargoguoibmin oahpaheaddjái , oahppái ja váhnemiidda , muhto son datte 	ii galggašii 	geavahuvvot dulkan ovdánanságastallamis .
Sámediggi lea maid mearridan ahte Stuorradiggi 	ii galggašii 	meannudit minerálalága ovdal go eana- ja čáhcevuoigatvuođat Finnmárkkus leat čilgejuvvon , danne go láhkaárvalusas leat mearrádusat main lea váikkuhus vuoigatvuođabeliide .
Suohkanat , fylkkagielddat ja dearvvašvuođafitnodagat galget fuolahit dárbbašlaš dulkaveahki jus bargiin 	ii lea 	doarvái giella- ja kulturgelbbolašvuohta .
Dát 	ii guoska 	dušše ekonomalaš gaskaomiide , muhto maiddái biras- ja resursapolitihka ektui , biebmopolitihkalaš doaibmabijuid deattuhettiin , ealáhusovdánahttima ja opmodat- ja ássanpolitihka vuoruhettiin .
Nu leat šaddan dahkat vai vuosttašgiela ja nubbigiela oahpahus nannejuvvošii , ja vai eará fágaid oahpahus 	ii fuoniduvvošii 	.
Vaikke vel mearrádus Sámedikki njuolggadusaid birra min mielas 	ii berrešii 	sisttisdoallat departemeantta bearráigeahču , de mii atnit dán Sámedikki rolla dohkkeheapmin sámi beroštusaid ja árvvuid hálddašeaddjin .
Dát ii mearkkaš dattetge dan ahte bargu 	ii livččii 	dehálaš Sámediggái .
ILO-konvenšuvnna nr. 169 viiddes árvvoštallan mii lea dahkkojuvvon dan rájes go Norga dohkkehii konvenšuvnna jagi 1990 , ja dán konvenšuvnna riikkaidgaskasaš geavat , 	ii berrešii 	Sámedikki oainnu mielde buktit váttisvuođaid dán konvenšuvnna siskkáldahttimii olmmošvuoigatvuođaláhkii .
Dovdomearkan daid doaluide mat heaittihuvvojit , lea dat go dáid doaluid divodeapmi livččii hui divrras ja doaibmaekonomiija liikká 	ii buorránivččii 	dan geažil .
Dattege leat dál ollu buorit guollejávrrit gos 	ii lea 	guhkes áigái guolástuvvon , ja guollemáddodaga kvalitehtta lea hedjonan .
Dát ii mearkkaš dattetge dan ahte bargu 	ii livččii 	dehálaš Sámediggái .
Sámediggi lea maid mearridan ahte Stuorradiggi 	ii galggašii 	meannudit minerálalága ovdal go eana- ja čáhcevuoigatvuođat Finnmárkkus leat čilgejuvvon , danne go láhkaárvalusas leat mearrádusat main lea váikkuhus vuoigatvuođabeliide .
Sámediggi lea maid mearridan ahte Stuorradiggi 	ii galggašii 	meannudit minerálalága ovdal go eana- ja čáhcevuoigatvuođat Finnmárkkus leat čilgejuvvon , danne go láhkaárvalusas leat mearrádusat main lea váikkuhus vuoigatvuođabeliide .
Dattege leat dál ollu buorit guollejávrrit gos 	ii lea 	guhkes áigái guolástuvvon , ja guollemáddodaga kvalitehtta lea hedjonan .
Lávdegoddi lea árvvoštallan iešguđet čovdosiid otná vuogádaga siskkobealde , muhto lea gávnnahan ahte sámediggeválgga boađus dattege 	ii sáhttá 	leat gárvvis ovdal áramusat bearjadaga , válgavahku loahpas , jus buot doaibmá plána mielde .
Dát 	ii guoska 	sámegiel doahpagii « meahcci » .
Dát 	ii guoska 	dušše ekonomalaš gaskaomiide , muhto maiddái biras- ja resursapolitihka ektui , biebmopolitihkalaš doaibmabijuid deattuhettiin , ealáhusovdánahttima ja opmodat- ja ássanpolitihka vuoruhettiin .
